ip,21,80,443,389,636,161,22,23,25,3389,20,53,110,119,123,143,194,88
164.128.164.78,,,,,,,,,,,,,,,,,,
81.196.205.201,,,,,,,,,,,,,,,,,,
81.196.205.207,,,,,,,,,,,,,,,,,,
81.196.205.209,,,,,,,,,,,,,,,,,,
164.128.164.119,,,,,,,,,,,,,,,,,,
164.128.164.118,,,,,,,,,,,,,,,,,,
164.128.164.124,,,,,,,,,,,,,,,,,,
164.128.164.50,,,,,,,,,,,,,,,,,,
